AttackType_none;None
AttackType_melee;Melee
AttackType_ranged;Ranged
EffectType_Attack;Attack
EffectType_Physical;Physical
EffectType_Magic;Magic
EffectType_StatusBuff;Buff
EffectType_StatusDebuff;Debuff
EffectType_StatusDisable;
EffectType_StatusStealth;
EffectType_Dominate;Dominate
EffectType_Transmute;Transmute
EffectType_Disable;Disable
EffectType_Astrolabe;Astrolabe
EffectType_RingSorcery;RingSorcery
EffectType_Energizer;Energizer
EffectType_Transfigure;Transfigure
EffectType_Push;Push
EffectType_Splash;Splash
EffectType_Cleave;Cleave
EffectType_DOT;
EffectType_Buff;
EffectType_DeBuff;
EffectType_Returned;
EffectType_BarrierIdol;
EffectType_NeutralAggro;
EffectType_SuperiorMagic;Superior Magic
EffectType_SuperiorPhysical;Superior Physical
ImmunityType_MagicImmunity1;Magic Immunity
ImmunityType_DominateImmunity;Dominate Immunity
ImmunityType_AncientImmunity;Ancient Immunity
ImmunityType_BossImmunity;Boss Immunity
ImmunityType_SiegeImmunity;Siege Immunity
ImmunityType_DisableImmunity;Disable Immunity
ImmunityType_TargetingImmunity;Targeting Immunity
ImmunityType_AstrolabeImmunity;Astrolabe Immunity
ImmunityType_RingSorceryImmunity;RingSorcery Immunity
ImmunityType_EnergizerImmunity;Energizer Immunity
ImmunityType_TransfigureImmunity;
ImmunityType_GadgetImmunity;Gadget Immunity
ImmunityType_CourierImmunity;Courier Immunity
ImmunityType_AttackImmunity;
ImmunityType_IndirectImmunity;Indirect Immunity
ImmunityType_AncientImmunity2;
ImmunityType_PhysicalImmunity;Physical Immunity
ImmunityType_BarrierImmunity;Barrier Idol Immunity
HeroCategory_cc;Crowd Control
HeroCategory_magic;Magic Damage
HeroCategory_muc;Multi-unit Control
HeroCategory_physical;Physical Damage
HeroCategory_protective;Protective
HeroCategory_tank;Tank
StealthType_hero;Hero
StealthType_item;Item
StealthType_ward;Ward
StealthType_Unrevealable;
RevealType_ward;Ward of Revelation
RevealType_eye;Bound Eye
RevealType_tower;Tower
ArmorType_normal;Armor
ArmorType_magic;Magic Armor
TargetScheme_null;
TargetScheme_all;All
TargetScheme_nothing;
TargetScheme_self;Self
TargetScheme_enemy_units_structures_and_self;Self/Enemies & Structures
TargetScheme_enemy_units;Enemy Units
TargetScheme_enemy_heroes;Enemy Heroes
TargetScheme_ally_units;Ally Units
TargetScheme_ally_heroes;Ally Heroes
TargetScheme_all_units;All Units
TargetScheme_all_visible_units;All Visible Units
TargetScheme_ally_ranged_units;Ally Ranged Units
TargetScheme_ally_ranged_heroes;Ally Ranged Heroes
TargetScheme_ally_melee_units;Ally Melee Units
TargetScheme_ally_buildings;Ally Buildings
TargetScheme_enemy_units_and_Towers;Enemy Units/Towers
TargetScheme_enemy_objects;Enemy Objects
TargetScheme_enemy_objects_not_gadgets;Enemy Objects
TargetScheme_teleport_targets;Teleport Targets
TargetScheme_my_units;Owned Units
TargetScheme_owner;
TargetScheme_owned;
TargetScheme_trees;Trees
TargetScheme_enemy_melee_units;Enemy Melee Units
TargetScheme_enemy_creeps;Enemy Creeps
TargetScheme_attack;Attack Targets
TargetScheme_attack_all;Unrestricted Attack Targets
TargetScheme_bottle;Bottle Targets
TargetScheme_melee_units;Melee Units
TargetScheme_ranged_units;Ranged Units
TargetScheme_visible_enemy_units;Visible Enemy Units
TargetScheme_visible_enemy_heroes;Visible Enemy Heroes
TargetScheme_visible_enemy_objects;Visible Enemy Objects
TargetScheme_injured_ally_units;Injured Ally Units
TargetScheme_injured_ally_units_incl_self;Injured Ally Units
TargetScheme_enemy_units_and_trees;Enemy Units and Trees
TargetScheme_all_other_units;All Other Units
TargetScheme_all_other_organic_units;All Other Organic Units
TargetScheme_enemy_buildings;Enemy Buildings
TargetScheme_enemy_melee_heroes;Enemy Melee Heroes
TargetScheme_hook_targets;All Non-Siege Units
TargetScheme_enemy_units_and_corpses;Enemy Units and Corpses
TargetScheme_nonneutral_enemy_units;Non-Neutral Enemies
