AttackType_none,None,Нет,,
AttackType_melee,Melee,Ближняя,,
AttackType_ranged,Ranged,Дальняя,,
EffectType_Attack,Attack,Атака,,
EffectType_Physical,Physical,Физический,,
EffectType_Magic,Magic,Магический,,
EffectType_StatusBuff,Buff,Усиление,,
EffectType_StatusDebuff,Debuff,Ослабление,,
EffectType_StatusDisable,,,,
EffectType_StatusStealth,,,,
EffectType_Dominate,Dominate,Подчинение,,
EffectType_Transmute,Transmute,Превращение,,
EffectType_Disable,Disable,Обезвреживание,,
EffectType_Astrolabe,Astrolabe,Astrolabe,,
EffectType_RingSorcery,RingSorcery,RingSorcery,,
EffectType_Energizer,Energizer,Energizer,,
EffectType_Transfigure,Transfigure,Преображение,,
EffectType_Push,Push,Толчок,,
EffectType_Splash,Splash,Урон по области,,
EffectType_Cleave,Cleave,Рассечение,,
EffectType_DOT,,,,
EffectType_Buff,,,,
EffectType_DeBuff,,,,
EffectType_Returned,,,,
EffectType_BarrierIdol,,,,
EffectType_NeutralAggro,,,,
EffectType_SuperiorMagic,Superior Magic,Высший магический,,
EffectType_SuperiorPhysical,Superior Physical,Высший физический,,
ImmunityType_MagicImmunity1,Magic Immunity,Магический иммунитет,,
ImmunityType_DominateImmunity,Dominate Immunity,Иммунитет к Подчинению,,
ImmunityType_AncientImmunity,Ancient Immunity,Иммунитет к Древним,,
ImmunityType_BossImmunity,Boss Immunity,Иммунитет к Боссам,,
ImmunityType_SiegeImmunity,Siege Immunity,Иммунитет к осадным машинам,,
ImmunityType_DisableImmunity,Disable Immunity,Иммунитет к отключению,,
ImmunityType_TargetingImmunity,Targeting Immunity,Иммунитет к выцеливанию,,
ImmunityType_AstrolabeImmunity,Astrolabe Immunity,Иммунитет к Astrolabe,,
ImmunityType_RingSorceryImmunity,RingSorcery Immunity,Иммунитет к RingSorcery,,
ImmunityType_EnergizerImmunity,Energizer Immunity,Иммунитет к Energizer,,
ImmunityType_TransfigureImmunity,,,,
ImmunityType_GadgetImmunity,Gadget Immunity,Иммунитет Устройств,,
ImmunityType_CourierImmunity,Courier Immunity,Иммунитет Курьеров,,
ImmunityType_AttackImmunity,,,,
ImmunityType_IndirectImmunity,Indirect Immunity,Иммунитет к непрямым атакам,,
ImmunityType_AncientImmunity2,,,,
ImmunityType_PhysicalImmunity,Physical Immunity,Иммунитет к физическим атакам,,
ImmunityType_BarrierImmunity,Barrier Idol Immunity,Иммунитет к Barrier Idol,,
HeroCategory_cc,Crowd Control,Сдерживание врагов,,
HeroCategory_magic,Magic Damage,Магический урон,,
HeroCategory_muc,Multi-unit Control,Управление Multi-unit,,
HeroCategory_physical,Physical Damage,Физический урон,,
HeroCategory_protective,Protective,Защита,,
HeroCategory_tank,Tank,Танк,,
StealthType_hero,Hero,Герой,,
StealthType_item,Item,Предмет,,
StealthType_ward,Ward,Ward,,
